customer_id,risk_score,risk_band,drivers,revenue_at_risk,explanation,run_id,generated_at
CUST-37610024,0.2,Medium,High Support Burden,0.0,Risk drivers: High Support Burden.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-6A8F1D6C,0.0,Low,,0.0,No significant risk signals detected.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-84B8FB89,0.0,Low,,0.0,No significant risk signals detected.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-1C3313B6,0.0,Low,,0.0,No significant risk signals detected.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-2A915907,0.2,Medium,High Support Burden,0.0,Risk drivers: High Support Burden.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-B84350D4,0.4,High,Failed Payments,0.0,Risk drivers: Failed Payments.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-A85DF973,0.2,Medium,High Support Burden,0.0,Risk drivers: High Support Burden.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-A54777F3,0.0,Low,,0.0,No significant risk signals detected.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-4D652CDA,0.0,Low,,0.0,No significant risk signals detected.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-9AF4CCE4,0.0,Low,,0.0,No significant risk signals detected.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-F98FD767,0.0,Low,,0.0,No significant risk signals detected.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-4D395DDE,0.4,High,Failed Payments,49.0,Risk drivers: Failed Payments.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-5D77EFC9,0.4,High,Failed Payments,199.0,Risk drivers: Failed Payments.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-CA3F9B5E,0.0,Low,,0.0,No significant risk signals detected.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-65596ABD,0.2,Medium,High Support Burden,0.0,Risk drivers: High Support Burden.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-66FE4E37,0.4,High,Low NPS | High Support Burden,499.0,"Risk drivers: Low NPS, High Support Burden.",productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-C03160B1,0.2,Medium,High Support Burden,0.0,Risk drivers: High Support Burden.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-9A60DED1,0.6000000000000001,High,Low NPS | Failed Payments,49.0,"Risk drivers: Low NPS, Failed Payments.",productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-D3B021DA,0.4,High,Failed Payments,199.0,Risk drivers: Failed Payments.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-1BA54B0F,0.4,High,Failed Payments,0.0,Risk drivers: Failed Payments.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-9EF94C07,0.8,Critical,Low NPS | Failed Payments | High Support Burden,0.0,"Risk drivers: Low NPS, Failed Payments, High Support Burden.",productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-1E4D99B5,0.0,Low,,0.0,No significant risk signals detected.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-C280B940,0.4,High,Failed Payments,199.0,Risk drivers: Failed Payments.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-F2D6AB8C,0.4,High,Failed Payments,49.0,Risk drivers: Failed Payments.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-E1247949,0.0,Low,,0.0,No significant risk signals detected.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-B8473638,0.0,Low,,0.0,No significant risk signals detected.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-E5153171,0.0,Low,,0.0,No significant risk signals detected.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-A17F56A5,0.0,Low,,0.0,No significant risk signals detected.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
