leakage_type,customer_id,estimated_revenue_loss,estimated_loss,affected_customers,recommended_action,evidence,run_id,generated_at
Failed Payment,CUST-00E36B8D,49.0,49.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",1 failed transaction(s) totalling $49.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-017D0217,49.0,49.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",1 failed transaction(s) totalling $49.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-01BC75ED,1999.0,1999.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.","1 failed transaction(s) totalling $1,999.00.",productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-02593FD4,49.0,49.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",1 failed transaction(s) totalling $49.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-028BDB79,1999.0,1999.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.","1 failed transaction(s) totalling $1,999.00.",productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-02D2837C,98.0,98.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",2 failed transaction(s) totalling $98.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-045CDBCF,49.0,49.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",1 failed transaction(s) totalling $49.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-05F63E56,398.0,398.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",2 failed transaction(s) totalling $398.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-066C24E0,1999.0,1999.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.","1 failed transaction(s) totalling $1,999.00.",productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-06754D23,1999.0,1999.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.","1 failed transaction(s) totalling $1,999.00.",productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-06F80977,499.0,499.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",1 failed transaction(s) totalling $499.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-085EA84A,998.0,998.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",2 failed transaction(s) totalling $998.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-085FF7A4,398.0,398.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",2 failed transaction(s) totalling $398.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-088652B9,499.0,499.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",1 failed transaction(s) totalling $499.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-0A2FE7D2,49.0,49.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",1 failed transaction(s) totalling $49.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-0A35777A,49.0,49.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",1 failed transaction(s) totalling $49.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-0B94F615,1999.0,1999.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.","1 failed transaction(s) totalling $1,999.00.",productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-0BE4D99F,499.0,499.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",1 failed transaction(s) totalling $499.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-0C039F9F,3998.0,3998.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.","2 failed transaction(s) totalling $3,998.00.",productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-0C211463,499.0,499.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",1 failed transaction(s) totalling $499.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-0D41E8EE,499.0,499.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",1 failed transaction(s) totalling $499.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-0D8DAE06,597.0,597.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",3 failed transaction(s) totalling $597.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-0DCF7274,98.0,98.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",2 failed transaction(s) totalling $98.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-0DEBA7AB,499.0,499.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",1 failed transaction(s) totalling $499.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-0EA0AC68,199.0,199.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",1 failed transaction(s) totalling $199.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-0EB3CD1D,49.0,49.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",1 failed transaction(s) totalling $49.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-10145AE4,499.0,499.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",1 failed transaction(s) totalling $499.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-109D1A55,49.0,49.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",1 failed transaction(s) totalling $49.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-110057AA,499.0,499.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",1 failed transaction(s) totalling $499.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-124D2330,499.0,499.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",1 failed transaction(s) totalling $499.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-1276D8CD,49.0,49.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",1 failed transaction(s) totalling $49.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-12F57229,98.0,98.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",2 failed transaction(s) totalling $98.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-13862B85,199.0,199.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",1 failed transaction(s) totalling $199.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-153C5E61,199.0,199.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",1 failed transaction(s) totalling $199.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-155EA421,199.0,199.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",1 failed transaction(s) totalling $199.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-157C59FF,1999.0,1999.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.","1 failed transaction(s) totalling $1,999.00.",productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-157CAC78,199.0,199.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",1 failed transaction(s) totalling $199.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-159E6C52,499.0,499.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",1 failed transaction(s) totalling $499.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-15EA71C8,49.0,49.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",1 failed transaction(s) totalling $49.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-15F7F672,499.0,499.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",1 failed transaction(s) totalling $499.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Failed Payment,CUST-17F02B0D,499.0,499.0,1,"Trigger automated dunning sequence: retry payment, then request updated payment method.",1 failed transaction(s) totalling $499.00.,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
