customer_id,segment,is_active,signup_date,country,acquisition_channel,plan,subscription_status,current_mrr,total_revenue,latest_usage_frequency,usage_trend,latest_nps,support_ticket_count,failed_payment_count,churn_risk_score,churn_risk_band,revenue_at_risk,main_driver,recommended_action,health_status,revenue_segment,usage_segment,risk_segment,nps_segment,run_id,generated_at
CUST-37610024,Startup,True,2024-07-05 03:40:36,Germany,Outbound Sales,Pro,Active,199.0,4378.0,213.54545454545453,Stable,,5.0,0.0,0.2,Medium,0.0,High Support Burden,No action required,Watch,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-CCE39333,Startup,False,2025-11-16 23:42:35,Australia,Organic Search,Basic,Canceled,0.0,98.0,243.5,Increasing,,1.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Low Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-DE3AD5A3,SMB,False,2025-08-21 20:05:34,Australia,Direct,Pro,Canceled,0.0,1393.0,78.44444444444444,Increasing,,3.0,1.0,0.0,Low,0.0,None,Automated Payment Recovery — Failed Transaction,Healthy,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-6A8F1D6C,SMB,True,2025-03-17 09:09:00,Germany,Outbound Sales,Premium,Active,499.0,6986.0,321.42857142857144,Declining,10.0,0.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Enterprise Value,No Usage,Low Risk,Promoter,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-84B8FB89,Startup,True,2025-03-13 02:25:36,UK,Outbound Sales,Pro,Active,199.0,2786.0,39.714285714285715,Stable,,0.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-89561C76,SMB,False,2026-01-17 18:38:07,Canada,Paid Social,Pro,Canceled,0.0,199.0,111.5,Declining,,1.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Mid Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-124D2330,Startup,False,2024-07-02 17:46:03,Canada,Referral,Premium,Canceled,0.0,9481.0,353.8636363636364,Increasing,2.0,4.0,1.0,0.0,Low,0.0,None,Automated Payment Recovery — Failed Transaction,Healthy,Enterprise Value,No Usage,Low Risk,Detractor,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-1C3313B6,SMB,True,2025-09-22 01:53:16,Germany,Organic Search,Pro,Past Due,199.0,1592.0,212.375,Declining,,2.0,0.0,0.0,Low,0.0,None,Past-Due Account Escalation,Healthy,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-2A915907,Mid-Market,True,2024-09-25 01:44:46,Australia,Organic Search,Basic,Active,49.0,980.0,355.6,Increasing,,3.0,0.0,0.2,Medium,0.0,High Support Burden,No action required,Watch,Mid Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-B84350D4,Mid-Market,True,2024-07-08 17:59:13,UK,Paid Social,Enterprise,Past Due,1999.0,41979.0,359.45454545454544,Increasing,8.0,2.0,1.0,0.4,High,0.0,Failed Payments,Automated Payment Recovery — Failed Transaction,At Risk,Enterprise Value,No Usage,Low Risk,Passive,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-A85DF973,Startup,True,2025-05-20 07:54:42,Canada,Outbound Sales,Premium,Active,499.0,5988.0,414.5833333333333,Declining,,3.0,0.0,0.2,Medium,0.0,High Support Burden,No action required,Watch,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-A54777F3,Mid-Market,True,2026-04-13 04:54:12,USA,Referral,Enterprise,Active,1999.0,1999.0,86.0,Increasing,,0.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-4D652CDA,SMB,True,2025-10-20 02:22:53,Germany,Direct,Enterprise,Past Due,1999.0,13993.0,177.85714285714286,Stable,,1.0,0.0,0.0,Low,0.0,None,Past-Due Account Escalation,Healthy,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-9AF4CCE4,SMB,True,2025-11-07 15:10:03,Canada,Paid Social,Enterprise,Active,1999.0,11994.0,381.3333333333333,Stable,7.0,1.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Enterprise Value,No Usage,Low Risk,Passive,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-551DFFFC,Mid-Market,False,2025-10-06 18:12:06,Canada,Organic Search,Premium,Canceled,0.0,3493.0,156.0,Increasing,,1.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-F98FD767,SMB,True,2025-11-25 19:50:47,Canada,Paid Social,Pro,Active,199.0,1194.0,84.66666666666667,Increasing,,1.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-4D395DDE,Startup,True,2025-05-10 15:43:46,UK,Organic Search,Basic,Active,49.0,490.0,261.3333333333333,Stable,7.0,0.0,2.0,0.4,High,49.0,Failed Payments,Automated Payment Recovery — Failed Transaction,At Risk,Mid Value,No Usage,Low Risk,Passive,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-5D77EFC9,Enterprise,True,2024-08-02 12:33:03,Canada,Organic Search,Pro,Active,199.0,3980.0,147.71428571428572,Increasing,,0.0,1.0,0.4,High,199.0,Failed Payments,Automated Payment Recovery — Failed Transaction,At Risk,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-CA3F9B5E,Startup,True,2026-01-04 00:23:20,Germany,Referral,Premium,Active,499.0,1996.0,148.0,Increasing,,1.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-65596ABD,Startup,True,2025-03-25 18:45:41,UK,Organic Search,Pro,Active,199.0,2786.0,21.214285714285715,Stable,10.0,5.0,0.0,0.2,Medium,0.0,High Support Burden,No action required,Watch,Enterprise Value,No Usage,Low Risk,Promoter,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-66FE4E37,SMB,True,2025-05-01 06:09:56,USA,Organic Search,Premium,Active,499.0,5988.0,456.4166666666667,Increasing,1.0,5.0,0.0,0.4,High,499.0,Low NPS,SMB Re-engagement Offer — High Churn Risk,At Risk,Enterprise Value,No Usage,Low Risk,Detractor,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-C03160B1,Mid-Market,True,2025-01-26 16:22:52,UK,Direct,Basic,Active,49.0,735.0,379.25,Stable,,5.0,0.0,0.2,Medium,0.0,High Support Burden,No action required,Watch,Mid Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
