intervention_id,recommendation_title,category,target_segment,affected_customers,estimated_revenue_impact,expected_action,suggested_owner,confidence_level,effort_level,priority_score,priority_band
IV-9DB790E6,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,5997.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,5097.45,Critical
IV-625831FB,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,3998.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,3398.3,High
IV-6D274649,Automated Payment Recovery — Failed Transaction,billing_recovery,Mid-Market,1,3998.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,3398.3,High
IV-638D197D,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,3998.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,3398.3,High
IV-825FC3AF,Automated Payment Recovery — Failed Transaction,billing_recovery,Startup,1,3998.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,3398.3,High
IV-D556EAB7,Automated Payment Recovery — Failed Transaction,billing_recovery,Mid-Market,1,3998.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,3398.3,High
IV-68E184D8,Automated Payment Recovery — Failed Transaction,billing_recovery,Startup,1,3998.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,3398.3,High
IV-4C3C5B3E,Automated Payment Recovery — Failed Transaction,billing_recovery,Startup,1,3998.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,3398.3,High
IV-D8B55F45,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,3998.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,3398.3,High
IV-E1928BF8,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,3998.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,3398.3,High
IV-D7A15378,Automated Payment Recovery — Failed Transaction,billing_recovery,Startup,1,1999.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1699.15,High
IV-36BE2AC7,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,1999.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1699.15,High
IV-3E0010AE,Automated Payment Recovery — Failed Transaction,billing_recovery,Startup,1,1999.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1699.15,High
