segment,step,users,conversion_rate,dropoff_rate,previous_step_users,run_id,generated_at
Enterprise,Signup,52,1.0,0.0,52,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Enterprise,Activation,51,0.9807692307692307,0.019230769230769273,52,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Enterprise,Key Action,51,1.0,0.0,51,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Enterprise,Paid Conversion,51,1.0,0.0,51,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Enterprise,Month-1 Retention,49,0.9607843137254902,0.039215686274509776,51,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Mid-Market,Signup,158,1.0,0.0,158,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Mid-Market,Activation,153,0.9683544303797469,0.03164556962025311,158,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Mid-Market,Key Action,153,1.0,0.0,153,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Mid-Market,Paid Conversion,153,1.0,0.0,153,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Mid-Market,Month-1 Retention,150,0.9803921568627451,0.019607843137254943,153,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
SMB,Signup,395,1.0,0.0,395,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
SMB,Activation,390,0.9873417721518988,0.012658227848101222,395,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
SMB,Key Action,390,1.0,0.0,390,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
SMB,Paid Conversion,390,1.0,0.0,390,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
SMB,Month-1 Retention,386,0.9897435897435898,0.01025641025641022,390,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Startup,Signup,395,1.0,0.0,395,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Startup,Activation,394,0.9974683544303797,0.0025316455696202667,395,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Startup,Key Action,394,1.0,0.0,394,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Startup,Paid Conversion,394,1.0,0.0,394,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
Startup,Month-1 Retention,391,0.9923857868020305,0.0076142131979695105,394,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
