usage_id,customer_id,date,active_users,key_actions,logins,features_used
USG-655a2bc5,CUST-84d564a1,2026-02-01,32,640,320,4
USG-2093dbc1,CUST-84d564a1,2026-03-01,1,2,1,5
USG-c4a50fd4,CUST-84d564a1,2026-04-01,1,0,0,6
USG-0272597f,CUST-b4a22d89,2025-12-01,4,135,45,9
USG-759ff02b,CUST-b4a22d89,2026-01-01,4,160,40,7
USG-81e9ad46,CUST-b4a22d89,2026-02-01,3,144,36,4
USG-d293b97a,CUST-b4a22d89,2026-03-01,4,164,41,8
USG-f91dc327,CUST-b4a22d89,2026-04-01,4,192,48,3
USG-360b06ca,CUST-54226cf3,2026-02-01,32,1620,324,6
USG-0bf27969,CUST-54226cf3,2026-03-01,38,388,388,8
USG-4cda0c43,CUST-54226cf3,2026-04-01,34,1730,346,2
USG-7d16a4d7,CUST-858ce265,2026-04-01,18,187,187,6
USG-4b0557b7,CUST-11a4014b,2025-01-01,1,36,18,2
USG-185555af,CUST-11a4014b,2025-02-01,1,16,16,7
USG-e01041ea,CUST-11a4014b,2025-03-01,1,16,16,5
USG-bcf294f9,CUST-11a4014b,2025-04-01,1,18,18,4
USG-82b703d9,CUST-11a4014b,2025-05-01,1,51,17,5
USG-eca2c363,CUST-11a4014b,2025-06-01,1,68,17,1
USG-04c59cfc,CUST-11a4014b,2025-07-01,1,51,17,9
USG-e5b1a0c5,CUST-11a4014b,2025-08-01,1,56,14,8
USG-87c01bbc,CUST-11a4014b,2025-09-01,1,28,14,10
USG-8e6e9bfe,CUST-11a4014b,2025-10-01,1,34,17,9
USG-0c778683,CUST-11a4014b,2025-11-01,1,30,15,4
USG-e963482a,CUST-11a4014b,2025-12-01,1,17,17,3
USG-c4568c04,CUST-11a4014b,2026-01-01,1,45,15,1
USG-0c35328f,CUST-11a4014b,2026-02-01,1,80,16,7
USG-702bea84,CUST-11a4014b,2026-03-01,1,10,5,2
USG-bf48bc21,CUST-11a4014b,2026-04-01,1,8,4,7
USG-4d7f3a76,CUST-eba557a0,2024-10-01,19,199,199,10
USG-2b5a551e,CUST-eba557a0,2024-11-01,22,888,222,7
USG-0e5fc778,CUST-eba557a0,2024-12-01,19,197,197,1
USG-a5103a1f,CUST-eba557a0,2025-01-01,17,519,173,7
USG-b4acb6c0,CUST-eba557a0,2025-02-01,23,708,236,3
USG-dce64818,CUST-eba557a0,2025-03-01,22,228,228,3
USG-7ff68c4e,CUST-eba557a0,2025-04-01,22,452,226,3
USG-2f8ea7a1,CUST-eba557a0,2025-05-01,21,434,217,5
USG-d476fc40,CUST-eba557a0,2025-06-01,21,1060,212,1
USG-60cdd852,CUST-eba557a0,2025-07-01,16,336,168,8
USG-57635e9c,CUST-eba557a0,2025-08-01,24,1205,241,4
USG-7a4acd63,CUST-eba557a0,2025-09-01,23,936,234,6
