transaction_id,customer_id,subscription_id,amount,currency,status,transaction_date,payment_method
TXN-ff78d8e7,CUST-84d564a1,SUB-efc0b8c4,49.0,USD,Success,2026-02-23,PayPal
TXN-a9c82171,CUST-84d564a1,SUB-efc0b8c4,49.0,USD,Success,2026-03-23,Credit Card
TXN-87b86331,CUST-84d564a1,SUB-efc0b8c4,49.0,USD,Success,2026-04-23,Credit Card
TXN-4f7a8dbb,CUST-b4a22d89,SUB-7debe5d6,49.0,USD,Success,2025-12-03,Wire Transfer
TXN-53e60124,CUST-b4a22d89,SUB-7debe5d6,49.0,USD,Success,2026-01-03,Wire Transfer
TXN-ca36f169,CUST-b4a22d89,SUB-7debe5d6,49.0,USD,Success,2026-02-03,PayPal
TXN-1bc4af73,CUST-b4a22d89,SUB-7debe5d6,49.0,USD,Success,2026-03-03,Credit Card
TXN-b58ff116,CUST-b4a22d89,SUB-7debe5d6,49.0,USD,Success,2026-04-03,Credit Card
TXN-bdb86875,CUST-b4a22d89,SUB-7debe5d6,49.0,USD,Success,2026-05-03,Wire Transfer
TXN-46618eeb,CUST-54226cf3,SUB-e3d66a1f,199.0,USD,Success,2026-02-25,PayPal
TXN-23aa2137,CUST-54226cf3,SUB-e3d66a1f,199.0,USD,Success,2026-03-25,PayPal
TXN-452fc956,CUST-54226cf3,SUB-e3d66a1f,199.0,USD,Failed,2026-04-25,Wire Transfer
TXN-f49fb4b3,CUST-858ce265,SUB-2c979d1b,499.0,USD,Success,2026-04-07,Credit Card
TXN-f6d87c4f,CUST-858ce265,SUB-2c979d1b,499.0,USD,Success,2026-05-07,Wire Transfer
TXN-961f5d6f,CUST-11a4014b,SUB-6167175b,499.0,USD,Success,2025-01-07,Wire Transfer
TXN-d862767f,CUST-11a4014b,SUB-6167175b,499.0,USD,Success,2025-02-07,Wire Transfer
TXN-5a7a2291,CUST-11a4014b,SUB-6167175b,499.0,USD,Success,2025-03-07,Wire Transfer
TXN-2739b0ea,CUST-11a4014b,SUB-6167175b,499.0,USD,Success,2025-04-07,Credit Card
TXN-eddbd2e5,CUST-eba557a0,SUB-2a77c040,199.0,USD,Success,2024-10-09,Wire Transfer
TXN-9935c67a,CUST-eba557a0,SUB-2a77c040,199.0,USD,Success,2024-11-09,Credit Card
TXN-97b7c7dc,CUST-eba557a0,SUB-2a77c040,199.0,USD,Success,2024-12-09,Wire Transfer
TXN-ef936b3a,CUST-eba557a0,SUB-2a77c040,199.0,USD,Success,2025-01-09,PayPal
TXN-d4a21c45,CUST-eba557a0,SUB-2a77c040,199.0,USD,Success,2025-02-09,Credit Card
TXN-b01be5ba,CUST-eba557a0,SUB-2a77c040,199.0,USD,Success,2025-03-09,PayPal
TXN-ccf1b03f,CUST-eba557a0,SUB-2a77c040,199.0,USD,Success,2025-04-09,Wire Transfer
TXN-504dd1be,CUST-eba557a0,SUB-2a77c040,199.0,USD,Success,2025-05-09,Wire Transfer
TXN-49eed140,CUST-eba557a0,SUB-2a77c040,199.0,USD,Success,2025-06-09,Wire Transfer
TXN-42361024,CUST-eba557a0,SUB-2a77c040,199.0,USD,Success,2025-07-09,Credit Card
